sim_time, my_robot/cart?world_linear_velocity/x_1
0.843, -3.23576e-11
0.844, -1.04105e-11
0.845, 3.98558e-11
0.846, 1.80777e-11
0.847, -3.23325e-11
0.848, -1.03854e-11
0.849, 3.98848e-11
0.85, 1.81028e-11
0.851, -3.23073e-11
0.852, -1.03603e-11
0.853, 3.99061e-11
0.854, 1.8128e-11
0.855, -3.22822e-11
0.856, -1.03314e-11
0.857, 3.99352e-11
0.858, 1.81569e-11
0.859, -3.22608e-11
0.86, -1.03139e-11
0.861, 3.99565e-11
0.862, 1.81743e-11
0.863, -3.22395e-11
0.864, -1.0285e-11
0.865, 3.99817e-11
0.866, 1.81995e-11
0.867, -3.22106e-11
0.868, -1.02638e-11
0.869, 4.0003e-11
0.87, 1.82246e-11
0.871, -3.21854e-11
0.872, -1.02387e-11
0.873, 4.00282e-11
0.874, 1.82573e-11
0.875, -3.21565e-11
0.876, -1.02059e-11
0.877, 4.00609e-11
0.878, 1.82785e-11
0.879, -3.21351e-11
0.88, -1.01846e-11
0.881, 4.0086e-11
0.882, 1.82998e-11
0.883, -3.21062e-11
0.884, -1.01595e-11
0.885, 4.01112e-11
0.886, 1.83287e-11
0.887, -3.20811e-11
0.888, -1.01345e-11
0.889, 4.01324e-11
0.89, 1.83576e-11
0.891, -3.2056e-11
0.892, -1.01094e-11
0.893, 4.01575e-11
0.894, 1.8375e-11
0.895, -3.20385e-11
0.896, -1.00882e-11
0.897, 4.01789e-11
0.898, 1.84001e-11
0.899, -3.20096e-11
0.9, -1.00632e-11
0.901, 4.0204e-11
0.902, 1.84213e-11
0.903, -3.19883e-11
0.904, -1.00381e-11
0.905, 4.02252e-11
0.906, 1.84541e-11
0.907, -3.19594e-11
0.908, -1.00092e-11
0.909, 4.02541e-11
0.91, 1.8479e-11
0.911, -3.19305e-11
0.912, -9.98412e-12
0.913, 4.02868e-11
0.914, 1.85002e-11
0.915, -3.19092e-11
0.916, -9.95907e-12
0.917, 4.03081e-11
0.918, 1.85291e-11
0.919, -3.18842e-11
0.92, -9.93404e-12
0.921, 4.0337e-11
0.922, 1.85541e-11
0.923, -3.18514e-11
0.924, -9.90519e-12
0.925, 4.0362e-11
0.926, 1.85792e-11
0.927, -3.18264e-11
0.928, -9.88017e-12
0.929, 4.03832e-11
0.93, 1.86042e-11
0.931, -3.1809e-11
0.932, -9.85904e-12
0.933, 4.04084e-11
0.934, 1.86254e-11
0.935, -3.1784e-11
0.936, -9.83787e-12
0.937, 4.04296e-11
0.938, 1.86543e-11
0.939, -3.17589e-11
0.94, -9.80904e-12
0.941, 4.04546e-11
0.942, 1.86793e-11
0.943, -3.17301e-11
0.944, -9.78788e-12
0.945, 4.04834e-11
0.946, 1.8708e-11
0.947, -3.1705e-11
0.948, -9.75899e-12
0.949, 4.05122e-11
0.95, 1.8733e-11
0.951, -3.168e-11
0.952, -9.73017e-12
0.953, 4.05372e-11
0.954, 1.87579e-11
0.955, -3.16549e-11
0.956, -9.70895e-12
0.957, 4.05622e-11
0.958, 1.87829e-11
0.959, -3.16261e-11
0.96, -9.68015e-12
0.961, 4.05872e-11
0.962, 1.8804e-11
0.963, -3.16049e-11
0.964, -9.65907e-12
0.965, 4.06046e-11
0.966, 1.88252e-11
0.967, -3.15838e-11
0.968, -9.63794e-12
0.969, 4.06334e-11
0.97, 1.88502e-11
0.971, -3.15627e-11
0.972, -9.61688e-12
0.973, 4.06547e-11
0.974, 1.88752e-11
0.975, -3.15339e-11
0.976, -9.5881e-12
0.977, 4.06796e-11
0.978, 1.8904e-11
0.979, -3.15089e-11
0.98, -9.55933e-12
0.981, 4.07084e-11
0.982, 1.89289e-11
0.983, -3.14801e-11
0.984, -9.53439e-12
0.985, 4.07334e-11
0.986, 1.89539e-11
0.987, -3.14551e-11
0.988, -9.50562e-12
0.989, 4.07622e-11
0.99, 1.89787e-11
0.991, -3.14263e-11
0.992, -9.48447e-12
0.993, 4.0787e-11
0.994, 1.90075e-11
0.995, -3.14013e-11
0.996, -9.45571e-12
0.997, 4.0812e-11
0.998, 1.90285e-11
0.999, -3.1384e-11
1, -9.43839e-12
1.001, 4.08293e-11
1.002, 1.90534e-11
1.003, -3.1359e-11
1.004, -9.41348e-12
1.005, 4.0858e-11
1.006, 1.90783e-11
1.007, -3.13341e-11
1.008, -9.38865e-12
1.009, 4.08792e-11
1.01, 1.91033e-11
1.011, -3.13093e-11
1.012, -9.36375e-12
1.013, 4.09079e-11
1.014, 1.91283e-11
1.015, -3.12806e-11
1.016, -9.33498e-12
1.017, 4.09328e-11
1.018, 1.9157e-11
1.019, -3.12557e-11
1.02, -9.31017e-12
1.021, 4.09578e-11
1.022, 1.91742e-11
1.023, -3.12308e-11
1.024, -9.28529e-12
1.025, 4.09827e-11
1.026, 1.92029e-11
1.027, -3.12059e-11
1.028, -9.2566e-12
1.029, 4.10114e-11
1.03, 1.92278e-11
1.031, -3.11772e-11
1.032, -9.22791e-12
1.033, 4.10324e-11
1.034, 1.92565e-11
1.035, -3.11562e-11
1.036, -9.21072e-12
1.037, 4.10573e-11
1.038, 1.92775e-11
1.039, -3.11313e-11
1.04, -9.18587e-12
1.041, 4.10822e-11
1.042, 1.93023e-11
1.043, -3.11102e-11
1.044, -9.1648e-12
1.045, 4.11031e-11
1.046, 1.93233e-11
1.047, -3.10853e-11
1.048, -9.13612e-12
1.049, 4.11356e-11
1.05, 1.93519e-11
1.051, -3.10527e-11
1.052, -9.11125e-12
1.053, 4.11566e-11
1.054, 1.93806e-11
1.055, -3.10318e-11
1.056, -9.08254e-12
1.057, 4.11852e-11
1.058, 1.94016e-11
1.059, -3.1007e-11
1.06, -9.05772e-12
1.061, 4.12101e-11
1.062, 1.94302e-11
1.063, -3.09821e-11
1.064, -9.03299e-12
1.065, 4.12311e-11
