sim_time, my_robot/rail_cart_joint?0/position
6.799, -1.04324e-08
6.8, -1.04741e-08
6.801, -1.04939e-08
6.802, -1.04926e-08
6.803, -1.05132e-08
6.804, -1.05551e-08
6.805, -1.0575e-08
6.806, -1.05738e-08
6.807, -1.05946e-08
6.808, -1.06366e-08
6.809, -1.06567e-08
6.81, -1.06557e-08
6.811, -1.06767e-08
6.812, -1.07188e-08
6.813, -1.07391e-08
6.814, -1.07382e-08
6.815, -1.07594e-08
6.816, -1.08017e-08
6.817, -1.08221e-08
6.818, -1.08214e-08
6.819, -1.08427e-08
6.82, -1.08851e-08
6.821, -1.09057e-08
6.822, -1.09052e-08
6.823, -1.09266e-08
6.824, -1.09693e-08
6.825, -1.099e-08
6.826, -1.09896e-08
6.827, -1.10112e-08
6.828, -1.1054e-08
6.829, -1.10749e-08
6.83, -1.10747e-08
6.831, -1.10965e-08
6.832, -1.11394e-08
6.833, -1.11605e-08
6.834, -1.11604e-08
6.835, -1.11823e-08
6.836, -1.12255e-08
6.837, -1.12467e-08
6.838, -1.12468e-08
6.839, -1.12689e-08
6.84, -1.13122e-08
6.841, -1.13336e-08
6.842, -1.13338e-08
6.843, -1.13561e-08
6.844, -1.13996e-08
6.845, -1.14211e-08
6.846, -1.14216e-08
6.847, -1.1444e-08
6.848, -1.14876e-08
6.849, -1.15093e-08
6.85, -1.151e-08
6.851, -1.15326e-08
6.852, -1.15764e-08
6.853, -1.15982e-08
6.854, -1.1599e-08
6.855, -1.16218e-08
6.856, -1.16658e-08
6.857, -1.16878e-08
6.858, -1.16888e-08
6.859, -1.17117e-08
6.86, -1.17559e-08
6.861, -1.17781e-08
6.862, -1.17792e-08
6.863, -1.18023e-08
6.864, -1.18466e-08
6.865, -1.1869e-08
6.866, -1.18703e-08
6.867, -1.18936e-08
6.868, -1.19381e-08
6.869, -1.19607e-08
6.87, -1.19622e-08
6.871, -1.19856e-08
6.872, -1.20303e-08
6.873, -1.20531e-08
6.874, -1.20547e-08
6.875, -1.20784e-08
6.876, -1.21232e-08
6.877, -1.21461e-08
6.878, -1.21479e-08
6.879, -1.21718e-08
6.88, -1.22168e-08
6.881, -1.22399e-08
6.882, -1.22419e-08
6.883, -1.22659e-08
6.884, -1.23111e-08
6.885, -1.23344e-08
6.886, -1.23366e-08
6.887, -1.23608e-08
6.888, -1.24061e-08
6.889, -1.24296e-08
6.89, -1.2432e-08
6.891, -1.24564e-08
6.892, -1.25019e-08
6.893, -1.25256e-08
6.894, -1.25281e-08
6.895, -1.25527e-08
6.896, -1.25984e-08
6.897, -1.26223e-08
6.898, -1.2625e-08
6.899, -1.26497e-08
6.9, -1.26957e-08
6.901, -1.27197e-08
6.902, -1.27226e-08
6.903, -1.27475e-08
6.904, -1.27937e-08
6.905, -1.28179e-08
6.906, -1.2821e-08
6.907, -1.28461e-08
6.908, -1.28924e-08
6.909, -1.29168e-08
6.91, -1.29201e-08
6.911, -1.29454e-08
6.912, -1.29919e-08
6.913, -1.30165e-08
6.914, -1.302e-08
6.915, -1.30455e-08
6.916, -1.30922e-08
6.917, -1.31169e-08
6.918, -1.31206e-08
6.919, -1.31463e-08
6.92, -1.31932e-08
6.921, -1.32182e-08
6.922, -1.3222e-08
6.923, -1.32479e-08
6.924, -1.3295e-08
6.925, -1.33202e-08
6.926, -1.33242e-08
6.927, -1.33503e-08
6.928, -1.33976e-08
6.929, -1.34229e-08
6.93, -1.34272e-08
6.931, -1.34535e-08
6.932, -1.35009e-08
6.933, -1.35265e-08
6.934, -1.3531e-08
6.935, -1.35574e-08
6.936, -1.36051e-08
6.937, -1.36309e-08
6.938, -1.36355e-08
6.939, -1.36622e-08
6.94, -1.37101e-08
6.941, -1.3736e-08
6.942, -1.37409e-08
6.943, -1.37678e-08
6.944, -1.38158e-08
6.945, -1.3842e-08
6.946, -1.38471e-08
6.947, -1.38741e-08
6.948, -1.39224e-08
6.949, -1.39488e-08
6.95, -1.39541e-08
6.951, -1.39813e-08
6.952, -1.40298e-08
6.953, -1.40564e-08
6.954, -1.40619e-08
6.955, -1.40893e-08
6.956, -1.4138e-08
6.957, -1.41648e-08
6.958, -1.41705e-08
6.959, -1.41982e-08
6.96, -1.42471e-08
6.961, -1.42741e-08
6.962, -1.428e-08
6.963, -1.43079e-08
6.964, -1.4357e-08
6.965, -1.43842e-08
6.966, -1.43903e-08
6.967, -1.44184e-08
6.968, -1.44677e-08
6.969, -1.44951e-08
6.97, -1.45014e-08
6.971, -1.45297e-08
6.972, -1.45793e-08
6.973, -1.46069e-08
6.974, -1.46134e-08
6.975, -1.4642e-08
6.976, -1.46917e-08
6.977, -1.47195e-08
6.978, -1.47263e-08
6.979, -1.4755e-08
6.98, -1.4805e-08
6.981, -1.4833e-08
6.982, -1.484e-08
6.983, -1.4869e-08
6.984, -1.49191e-08
6.985, -1.49474e-08
6.986, -1.49546e-08
6.987, -1.49838e-08
6.988, -1.50342e-08
6.989, -1.50627e-08
6.99, -1.50701e-08
6.991, -1.50995e-08
6.992, -1.51501e-08
6.993, -1.51788e-08
6.994, -1.51864e-08
6.995, -1.52161e-08
6.996, -1.52669e-08
6.997, -1.52958e-08
6.998, -1.53037e-08
6.999, -1.53335e-08
7, -1.53846e-08
7.001, -1.54138e-08
7.002, -1.54218e-08
7.003, -1.54519e-08
7.004, -1.55032e-08
7.005, -1.55326e-08
7.006, -1.55409e-08
7.007, -1.55712e-08
7.008, -1.56227e-08
7.009, -1.56523e-08
7.01, -1.56609e-08
7.011, -1.56914e-08
7.012, -1.57431e-08
7.013, -1.5773e-08
7.014, -1.57817e-08
7.015, -1.58125e-08
7.016, -1.58645e-08
7.017, -1.58946e-08
7.018, -1.59036e-08
7.019, -1.59346e-08
7.02, -1.59868e-08
7.021, -1.60171e-08
7.022, -1.60263e-08
7.023, -1.60575e-08
7.024, -1.611e-08
7.025, -1.61405e-08
7.026, -1.615e-08
7.027, -1.61815e-08
7.028, -1.62341e-08
7.029, -1.62649e-08
7.03, -1.62746e-08
7.031, -1.63063e-08
7.032, -1.63593e-08
7.033, -1.63903e-08
7.034, -1.64002e-08
7.035, -1.64322e-08
7.036, -1.64853e-08
7.037, -1.65166e-08
7.038, -1.65268e-08
7.039, -1.6559e-08
7.04, -1.66124e-08
7.041, -1.66439e-08
7.042, -1.66543e-08
7.043, -1.66867e-08
7.044, -1.67404e-08
7.045, -1.67721e-08
7.046, -1.67828e-08
7.047, -1.68155e-08
7.048, -1.68694e-08
7.049, -1.69014e-08
7.05, -1.69123e-08
7.051, -1.69452e-08
7.052, -1.69993e-08
7.053, -1.70316e-08
7.054, -1.70428e-08
7.055, -1.70759e-08
7.056, -1.71303e-08
7.057, -1.71628e-08
7.058, -1.71742e-08
7.059, -1.72077e-08
7.06, -1.72623e-08
7.061, -1.72951e-08
7.062, -1.73067e-08
7.063, -1.73404e-08
7.064, -1.73953e-08
7.065, -1.74283e-08
7.066, -1.74402e-08
7.067, -1.74742e-08
