sim_time, my_robot/cart?world_linear_velocity/x
6.747, -1.82394e-08
6.748, -1.82523e-08
6.749, -1.82369e-08
6.75, -1.82937e-08
6.751, -1.83791e-08
6.752, -1.83922e-08
6.753, -1.83771e-08
6.754, -1.84341e-08
6.755, -1.85198e-08
6.756, -1.85332e-08
6.757, -1.85183e-08
6.758, -1.85756e-08
6.759, -1.86615e-08
6.76, -1.86752e-08
6.761, -1.86606e-08
6.762, -1.87181e-08
6.763, -1.88044e-08
6.764, -1.88183e-08
6.765, -1.8804e-08
6.766, -1.88618e-08
6.767, -1.89483e-08
6.768, -1.89625e-08
6.769, -1.89485e-08
6.77, -1.90066e-08
6.771, -1.90934e-08
6.772, -1.91079e-08
6.773, -1.90941e-08
6.774, -1.91525e-08
6.775, -1.92395e-08
6.776, -1.92543e-08
6.777, -1.92408e-08
6.778, -1.92995e-08
6.779, -1.93868e-08
6.78, -1.94019e-08
6.781, -1.93887e-08
6.782, -1.94476e-08
6.783, -1.95352e-08
6.784, -1.95506e-08
6.785, -1.95376e-08
6.786, -1.95968e-08
6.787, -1.96847e-08
6.788, -1.97004e-08
6.789, -1.96878e-08
6.79, -1.97472e-08
6.791, -1.98354e-08
6.792, -1.98513e-08
6.793, -1.9839e-08
6.794, -1.98988e-08
6.795, -1.99873e-08
6.796, -2.00035e-08
6.797, -1.99914e-08
6.798, -2.00515e-08
6.799, -2.01403e-08
6.8, -2.01568e-08
6.801, -2.0145e-08
6.802, -2.02054e-08
6.803, -2.02945e-08
6.804, -2.03112e-08
6.805, -2.02998e-08
6.806, -2.03604e-08
6.807, -2.04498e-08
6.808, -2.04669e-08
6.809, -2.04557e-08
6.81, -2.05167e-08
6.811, -2.06064e-08
6.812, -2.06237e-08
6.813, -2.06129e-08
6.814, -2.06741e-08
6.815, -2.07641e-08
6.816, -2.07818e-08
6.817, -2.07712e-08
6.818, -2.08328e-08
6.819, -2.0923e-08
6.82, -2.0941e-08
6.821, -2.09308e-08
6.822, -2.09926e-08
6.823, -2.10832e-08
6.824, -2.11015e-08
6.825, -2.10915e-08
6.826, -2.11537e-08
6.827, -2.12446e-08
6.828, -2.12632e-08
6.829, -2.12536e-08
6.83, -2.1316e-08
6.831, -2.14072e-08
6.832, -2.14261e-08
6.833, -2.14168e-08
6.834, -2.14796e-08
6.835, -2.15711e-08
6.836, -2.15903e-08
6.837, -2.15813e-08
6.838, -2.16444e-08
6.839, -2.17362e-08
6.84, -2.17558e-08
6.841, -2.17471e-08
6.842, -2.18105e-08
6.843, -2.19026e-08
6.844, -2.19225e-08
6.845, -2.19141e-08
6.846, -2.19778e-08
6.847, -2.20703e-08
6.848, -2.20905e-08
6.849, -2.20824e-08
6.85, -2.21465e-08
6.851, -2.22392e-08
6.852, -2.22597e-08
6.853, -2.2252e-08
6.854, -2.23164e-08
6.855, -2.24095e-08
6.856, -2.24303e-08
6.857, -2.24229e-08
6.858, -2.24876e-08
6.859, -2.2581e-08
6.86, -2.26022e-08
6.861, -2.25951e-08
6.862, -2.26601e-08
6.863, -2.27539e-08
6.864, -2.27754e-08
6.865, -2.27686e-08
6.866, -2.2834e-08
6.867, -2.29281e-08
6.868, -2.29499e-08
6.869, -2.29435e-08
6.87, -2.30092e-08
6.871, -2.31036e-08
6.872, -2.31257e-08
6.873, -2.31196e-08
6.874, -2.31857e-08
6.875, -2.32805e-08
6.876, -2.33029e-08
6.877, -2.32972e-08
6.878, -2.33636e-08
6.879, -2.34587e-08
6.88, -2.34815e-08
6.881, -2.34761e-08
6.882, -2.35428e-08
6.883, -2.36382e-08
6.884, -2.36614e-08
6.885, -2.36563e-08
6.886, -2.37234e-08
6.887, -2.38192e-08
6.888, -2.38427e-08
6.889, -2.3838e-08
6.89, -2.39054e-08
6.891, -2.40015e-08
6.892, -2.40254e-08
6.893, -2.4021e-08
6.894, -2.40888e-08
6.895, -2.41853e-08
6.896, -2.42095e-08
6.897, -2.42055e-08
6.898, -2.42736e-08
6.899, -2.43704e-08
6.9, -2.4395e-08
